chem_id,DTXCID30637,DTXCID30637_units,pred_class,ACT,AUC,pval,DTXCID6027,DTXCID6027_units,DTXCID009677,DTXCID009677_units,DTXCID109600,DTXCID109600_units,DTXCID805337,DTXCID805337_units,DTXCID7014945,DTXCID7014945_units,DTXCID9014341,DTXCID9014341_units,DTXCID901426,DTXCID901426_units,DTXCID6014455,DTXCID6014455_units,DTXCID00941,DTXCID00941_units,DTXCID3012361,DTXCID3012361_units,DTXCID9014347,DTXCID9014347_units,DTXCID7019367,DTXCID7019367_units,DTXCID1012042,DTXCID1012042_units,DTXCID90508,DTXCID90508_units,DTXCID505,DTXCID505_units
role,target,,,,,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,
preferred name,Formaldehyde,,,,,,Acrylamide,,Silica,,Methacrylamide,,Formamide,,Sulfuryl fluoride,,Arsenic acid,,Urea,,Chromic(VI) acid,,Sodium nitrite,,"2,2-Dibromo-3-nitrilopropionamide",,Barium metaborate,,Trisodium arsenate,,Silver nitrate,,Dimethylarsinic acid,,Acetamide,
dsstox_sid,DTXSID7020637,,,,,,DTXSID5020027,,DTXSID1029677,,DTXSID8029600,,DTXSID8025337,,DTXSID9034945,,DTXSID1034341,,DTXSID4021426,,DTXSID8034455,,DTXSID0020941,,DTXSID5032361,,DTXSID1034347,,DTXSID9039367,,DTXSID3032042,,DTXSID7020508,,DTXSID7020005,
dsstox_cid,DTXCID30637,,,,,,DTXCID6027,,DTXCID009677,,DTXCID109600,,DTXCID805337,,DTXCID7014945,,DTXCID9014341,,DTXCID901426,,DTXCID6014455,,DTXCID00941,,DTXCID3012361,,DTXCID9014347,,DTXCID7019367,,DTXCID1012042,,DTXCID90508,,DTXCID505,
similarity,1.00001,,,,,,0.1666666667,,0.1666666667,,0.1538461538,,0.125,,0.125,,0.125,,0.125,,0.125,,0.1111111111,,0.1111111111,,0.1111111111,,0.1111111111,,0.1111111111,,0.1,,0.1,
Mass g/mol,30.026,,,,,,71.079,,60.083,,85.106,,45.041,,102.05,,141.942,,60.056,,118.008,,68.995,,241.87,,222.94,,207.887,,169.872,,137.998,,59.068,
Melting °C,-105.286,,,,,,84.5147,,,,109.973,,2.59083,,,,,,132.697,,,,,,124.525,,,,,,,,,,81.0282,
Boiling °C,-19.0454,,,,,,192.684,,,,214.972,,219.986,,,,,,257.615,,,,,,306.307,,,,,,,,,,221.966,
log Kow ,0.349206,,,,,,-0.670491,,,,-1.10791,,-1.50846,,,,,,-1.88328,,,,,,0.819694,,,,,,,,,,-1.17478,
Vap. press. mmHg,824.979,,,,,,0.00706249,,,,0.0842602,,0.0606094,,,,,,1.21258e-05,,,,,,0.000898632,,,,,,,,,,0.0398512,
Water sol. mol/L,14.6625,,,,,,8.98889,,,,7.47619,,22.2407,,,,,,9.18616,,,,,,0.0622964,,,,,,,,,,37.6989,
Henry's Law atm-m3/mole,3.49471e-07,,,,,,2.48431e-08,,,,2.18588e-08,,9.73585e-08,,,,,,5.43991e-09,,,,,,2.24037e-09,,,,,,,,,,8.83095e-08,
Hydrogen Bond Donors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Bond Acceptors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHR:[other],pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,12.5,mg/kg/day,no_data,,no_data,,no_data,
CHR:adrenal gland,no_effect,,Neg,0.138,0.0,0.85,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:albumin,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,40.0,mg/kg/day,no_data,
CHR:appearance and color,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:bile duct,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,12.5,mg/kg/day,no_data,,no_data,,no_data,
CHR:body weight,pos_effect,,Pos,0.752,0.5,0.505,no_data,,no_data,,no_data,,40.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,100.0,mg/kg/day,71.29,mg/kg/day,no_data,,1.6,mg/kg/day,no_data,,40.0,mg/kg/day,no_effect,
CHR:bone,no_effect,,Neg,0.488,0.0,0.85,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:bone marrow,no_effect,,Neg,0.138,0.0,0.855,no_data,,no_data,,no_data,,80.0,mg/kg/day,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:brain,no_effect,,Neg,0.138,0.0,0.865,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:chloride,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:cholesterol,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:clinical signs,no_effect,,Neg,0.248,0.0,0.955,no_data,,no_data,,no_data,,no_effect,,20.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,6.5,mg/kg/day,no_effect,
CHR:clitoral gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:creatinine,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:ear,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:epididymis,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:erythrocyte (rbc) count differential,pos_effect,,Pos,0.628,0.0,0.665,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,100.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:esophagus,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:eye,no_effect,,Neg,0.138,0.0,0.9,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:food consumption,no_effect,,Neg,0.284,0.0,0.955,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,100.0,mg/kg/day,71.29,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,
