chem_id,DTXCID209612,DTXCID209612_units,pred_class,ACT,AUC,pval,DTXCID50778,DTXCID50778_units,DTXCID405975,DTXCID405975_units,DTXCID00809691,DTXCID00809691_units,DTXCID101327,DTXCID101327_units,DTXCID104176,DTXCID104176_units,DTXCID109600,DTXCID109600_units,DTXCID7012535,DTXCID7012535_units,DTXCID601717,DTXCID601717_units,DTXCID7014496,DTXCID7014496_units,DTXCID40759,DTXCID40759_units,DTXCID901780,DTXCID901780_units,DTXCID9012359,DTXCID9012359_units,DTXCID4012649,DTXCID4012649_units,DTXCID60242,DTXCID60242_units,DTXCID901808,DTXCID901808_units
role,target,,,,,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,
preferred name,Limonene,,,,,,D-Limonene,,R-(+)-Pulegone,,alpha-Isomethylionone,,Tetrahydrocannabinol,,Methacrylonitrile,,Methacrylamide,,Trinexapac-ethyl,,4-Chloro-3-methylphenol,,Unnamed chemical,,Isophorone,,Diethyl phthalate,,Cyprodinil,,Tetramethrin,,Captafol,,o-Cresol,
dsstox_sid,DTXSID2029612,,,,,,DTXSID1020778,,DTXSID2025975,,DTXSID7027047,,DTXSID6021327,,DTXSID1024176,,DTXSID8029600,,DTXSID9032535,,DTXSID4021717,,,,DTXSID8020759,,DTXSID7021780,,DTXSID1032359,,DTXSID6032649,,DTXSID4020242,,DTXSID8021808,
dsstox_cid,DTXCID209612,,,,,,DTXCID50778,,DTXCID405975,,DTXCID00809691,,DTXCID101327,,DTXCID104176,,DTXCID109600,,DTXCID7012535,,DTXCID601717,,DTXCID7014496,,DTXCID40759,,DTXCID901780,,DTXCID9012359,,DTXCID4012649,,DTXCID60242,,DTXCID901808,
similarity,1.00001,,,,,,1.0,,0.1666666667,,0.1578947368,,0.15,,0.1470588235,,0.1428571429,,0.1403508772,,0.1333333333,,0.1320754717,,0.1304347826,,0.125,,0.125,,0.125,,0.1228070175,,0.1219512195,
Mass g/mol,136.238,,,,,,136.238,,152.237,,206.329,,314.469,,67.091,,85.106,,252.266,,142.58,,250.263,,138.21,,222.24,,225.295,,331.412,,349.05,,108.14,
Melting °C,-85.0459,,,,,,-85.0459,,12.0429,,15.5437,,133.72,,-36.6608,,109.973,,36.2782,,66.7808,,186.223,,-7.78827,,-21.0426,,76.005,,69.0098,,160.458,,29.7586,
Boiling °C,175.173,,,,,,175.173,,224.091,,271.205,,328.313,,90.4457,,214.972,,305.802,,234.508,,290.872,,216.014,,299.636,,348.111,,339.127,,302.243,,191.34,
log Kow ,4.51408,,,,,,4.51408,,3.07682,,4.38167,,7.16361,,0.677833,,-1.10791,,1.59989,,3.09116,,-1.95861,,1.70616,,2.44414,,3.99844,,4.72729,,3.79851,,1.95091,
Vap. press. mmHg,1.5412,,,,,,1.5412,,0.123619,,0.0553989,,1.01624e-08,,70.524,,0.0842602,,1.60885e-05,,0.049796,,1.5182e-07,,0.440752,,0.0020989,,3.66586e-06,,7.03012e-06,,2.6016e-06,,0.302446,
Water sol. mol/L,9.09154e-05,,,,,,9.09154e-05,,0.0100681,,0.00105021,,1.28204e-05,,0.381525,,7.47619,,0.000676559,,0.0269456,,0.00979382,,0.0887907,,0.0046492,,5.76269e-05,,6.48624e-06,,4.0854e-06,,0.237672,
Henry's Law atm-m3/mole,0.022543,,,,,,0.022543,,0.000344613,,0.000324995,,8.39886e-10,,1.09058e-05,,2.18588e-08,,1.29652e-08,,1.13034e-06,,8.52527e-08,,3.69736e-05,,2.36661e-08,,2.52947e-08,,9.76411e-06,,4.19753e-06,,1.18058e-06,
Hydrogen Bond Donors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Bond Acceptors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHR:[other],pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,0.57,mg/kg/day,no_data,,no_data,,no_data,,no_data,
