Project Name,function,run time,CPU (mean),CPU (median),CPU (max),CPU (min),RAM (mean),RAM (median),RAM (max),RAM (min),GPU (mean),GPU (median),GPU (max),GPU (min),Args Size (mean),Args Size (median)
audio/simple_audio,tensorflow.keras.utils.audio_dataset_from_directory,1.3152840117,6.779275000000003,6.905874999999998,9.877750000000006,2.962500000000013,-0.09157500000000063,-0.14499999999999957,0.28550000000000075,-0.2890000000000015,0.2843875000000004,0.03575000000000195,2.141375,-0.09375,0.0001735687255859375,0.0001735687255859375
audio/simple_audio,tensorflow.keras.layers.Normalization.adapt,1.4058350958999999,21.7133,18.746875000000014,42.97275000000001,7.723999999999997,2.14485,1.8245000000000005,4.798,0.24349999999999916,8.5167375,6.367312499999999,21.15975000000001,3.7224999999999966,0.0,0.0
audio/simple_audio,tensorflow.keras.models.Sequential.fit,14.633414649,204.40262499999997,201.24487499999998,227.9835,192.14900000000011,13.246250000000007,13.365124999999999,15.976000000000028,10.857500000000002,750.3718125,711.9419375,940.7897500000004,675.7089999999998,0.0,0.0
audio/transfer_learning_audio,tensorflow.keras.utils.get_file,11.1761667511,162.59914999999998,115.408875,589.20975,78.43400000000003,8.315549999999995,7.161500000000011,21.11599999999993,3.4989999999999952,-166.24629999999993,-81.99549999999999,-68.60475000000001,-915.8404999999993,0.00014781951904296875,0.00014781951904296875
audio/transfer_learning_audio,tensorflow.keras.Sequential.fit,6.5528566798,89.82942499999997,89.15524999999998,98.25049999999999,84.97399999999996,6.103075,6.0425,7.186500000000009,5.094000000000008,286.29515000000004,283.9636875,311.00350000000003,261.25425,0.0,0.0
audio/transfer_learning_audio,tensorflow.keras.Model.save,4.5695968866,89.24662500000001,85.83162499999999,135.21400000000006,71.49375000000003,4.5714999999999995,4.1263749999999995,10.322,2.374999999999993,114.061275,114.898,130.69375000000002,92.76299999999999,7.2479248046875e-05,7.2479248046875e-05
distribute/custom_training,tensorflow.distribute.MirroredStrategy,0.7043346595,0.589824999999999,0.18837500000000063,2.079499999999996,-0.1545000000000023,0.07634999999999988,0.027374999999999483,0.25900000000000034,-0.01025000000000098,-0.024062500000000143,-0.012000000000000455,0.07049999999999912,-0.15549999999999997,0,0.0
estimator/keras_model_to_estimator,tensorflow.keras.models.Sequential,0.7649028255,0.6753249999999994,0.3113749999999982,3.211500000000001,-0.38000000000000256,0.02344999999999984,-0.017874999999999863,0.40699999999999825,-0.12250000000000139,0.411774999999999,0.041374999999999496,1.9280000000000008,-0.19450000000000145,0.0029840469360351562,0.0029840469360351562
estimator/keras_model_to_estimator,tensorflow.keras.estimator.model_to_estimator.train,2.9858190588,35.506125000000004,34.38474999999998,40.771249999999995,32.22000000000001,2.32305,2.0138750000000023,3.6849999999999987,1.4584999999999972,71.1547,75.44475,100.993375,40.17224999999996,0.0,0.0
estimator/premade,tensorflow.estimator.DNNClassifier,0.7658028789,1.0697249999999987,0.6735000000000007,2.9924999999999926,-0.06875000000000142,0.09905000000000004,0.056624999999999925,0.5225,-0.08650000000000002,0.06962500000000027,0.016750000000000043,0.4252500000000019,-0.26624999999999943,0.0002994537353515625,0.0002994537353515625
