Project Name,function,run time,CPU (mean),CPU (median),RAM (mean),RAM (median),GPU (mean),GPU (median),Args Size (mean),Args Size (median)
audio/transfer_learning_audio,tensorflow.keras.utils.get_file,11.1761667511,162.59914999999998,115.408875,8.315549999999995,7.161500000000011,-168.37884999999994,-87.382,0.00014781951904296875,0.00014781951904296875
audio/transfer_learning_audio,tensorflow.keras.Sequential.fit,6.5528566798,89.82942499999997,89.15524999999998,6.103075,6.0425,299.6954125,288.236875,0.0,0.0
audio/transfer_learning_audio,tensorflow.keras.Model.save,4.5695968866,89.24662500000001,85.83162499999999,4.5714999999999995,4.1263749999999995,132.473325,135.57718749999998,7.2479248046875e-05,7.2479248046875e-05
audio/transfer_learning_audio,tensorflow.saved_model.load,3.8643019211,47.2635,47.625,1.6610500000000008,1.6857500000000005,-50.6176375,-49.78625,3.814697265625e-05,3.814697265625e-05
estimator/keras_model_to_estimator,tensorflow.keras.models.Sequential,0.7649028255,0.6753249999999994,0.3113749999999982,0.02344999999999984,-0.017874999999999863,3.641225,2.6775624999999996,0.0029840469360351562,0.0029840469360351562
estimator/keras_model_to_estimator,tensorflow.keras.estimator.model_to_estimator.train,2.9858190588,35.506125000000004,34.38474999999998,2.32305,2.0138750000000023,84.43355,89.44400000000002,0.0,0.0
generative/adversarial_fgsm,tensorflow.keras.applications.MobileNetV2,1.7224643242,13.127025000000001,13.837500000000002,1.510175,1.472624999999999,31.1681625,34.178500000000014,4.9591064453125e-05,4.9591064453125e-05
generative/adversarial_fgsm,tensorflow.keras.applications.MobileNetV2.predict,3.2626846222,39.47487499999999,38.20624999999999,4.65075,4.5032499999999995,70.74917500000001,71.44862499999999,0.574437141418457,0.574437141418457
generative/autoencoder,tensorflow.keras.models.Model.fit,105.7988088556,1305.250025,1304.3412500000002,-14.312550000000034,-9.40500000000003,5723.493225,5656.93125,209.35095024108887,209.35095024108887
generative/autoencoder,tensorflow.keras.models.Model.fit,171.5270612827,2052.1116,2049.031875000001,-26.916650000000118,-25.758000000000038,8142.5765625,7330.604875000001,418.7017478942871,418.7017478942871
generative/autoencoder,tensorflow.keras.models.Model.fit,3.4425605062,40.58925,40.16525000000001,0.6620249999999992,0.6229999999999976,130.10183750000002,133.19962500000003,1.7943897247314453,1.7943897247314453
images/cnn,tensorflow.keras.models.Sequential.fit,168.9570377909,2037.9953999999998,2037.9700000000007,-8.940174999999977,-9.84199999999987,8474.62445,7609.72475,1406.307713508606,1406.307713508606
images/cnn,tensorflow.keras.models.Sequential.evaluate,1.8968874207,14.493675000000001,14.8275,0.805275,0.8341250000000002,38.989562500000005,45.795,234.3847942352295,234.3847942352295
keras/classification,tensorflow.keras.Sequential.fit,101.7963061196,1183.7370999999998,1180.297,-14.300999999999942,-14.715124999999944,4480.3843,4014.047625,358.9441909790039,358.9441909790039
keras/classification,tensorflow.keras.Sequential.evaluate,1.4632439206,8.457024999999998,8.473374999999997,0.2776249999999994,0.300125,29.03005,31.085375,59.82424259185791,59.82424259185791
keras/classification,tensorflow.keras.Sequential.predict,1.173056274,5.223975000000001,5.760000000000005,0.27580000000000016,0.2657500000000006,2.6162624999999973,1.3246249999999975,59.81461238861084,59.81461238861084
keras/overfit_and_underfit,tensorflow.data.experimental.CsvDataset,0.7504624189,0.5340000000000004,0.03537500000000193,0.08792500000000011,0.04912499999999986,3.8827875,3.472500000000002,0.00034999847412109375,0.00034999847412109375
keras/regression,tensorflow.keras.layers.Normalization.adapt,0.9619241265,3.5835999999999997,3.6572500000000012,0.4417999999999999,0.5114999999999998,6.993687499999999,6.857750000000001,0.0,0.0
keras/regression,tensorflow.keras.Sequential.predict,0.9741179669,2.6707000000000014,2.570499999999999,0.17575000000000046,0.1682500000000009,-5.521537499999999,-6.063749999999997,0.0002193450927734375,0.0002193450927734375
keras/regression,tensorflow.keras.Sequential.fit,5.2275304761,71.22407500000001,71.66737500000005,0.23095,0.3237500000000004,149.48366249999998,151.40300000000002,0.012882232666015625,0.012882232666015625
keras/regression,tensorflow.keras.Sequential.fit,5.3420132857,71.24035000000002,70.5415,0.23489999999999753,0.27224999999999966,174.30245,154.83575000000002,0.023697853088378906,0.023697853088378906
load_data/numpy,tensorflow.data.Dataset.from_tensor_slices,0.7054241352,0.49425000000000097,-0.03974999999999973,0.1098749999999998,0.072125,2.1519000000000004,0.9217500000000012,44.918253898620605,44.918253898620605
load_data/numpy,tensorflow.keras.Sequential.fit,53.99853148,647.2580500000001,649.6796250000004,-13.792599999999988,-13.072999999999922,2065.1778625,2067.047375,0.0,0.0
quickstart/beginner,tensorflow.keras.models.Sequential.fit,52.5536011455,611.651825,630.1354999999998,-13.789100000000024,-12.662000000000035,2487.0814499999997,2505.803125,358.9441909790039,358.9441909790039
quickstart/beginner,tensorflow.keras.models.Sequential.evaluate,1.5014616354,8.783000000000003,8.469000000000005,0.1609749999999998,0.17324999999999946,26.151112500000004,26.7684375,59.82424259185791,59.82424259185791
structured_data/feature_columns,tensorflow.keras.Sequential.fit,55.7258005681,729.5568250000001,733.5350000000001,-3.575750000000005,-1.643749999999983,2184.311,2121.434,0,0.0
structured_data/feature_columns,tensorflow.keras.Sequential.evaluate,1.1350970362,5.249999999999998,5.1499999999999915,0.01590000000000007,0.022750000000000714,10.184875,6.655625000000001,0,0.0
